geo country;time;scenario;new vehicle registrations
Example Country;2022;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2023;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2024;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2025;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2026;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2027;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2028;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2029;EU-27 CAM scenario proportionally distributed across each EU country;3000000
Example Country;2030;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2031;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2032;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2033;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2034;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2035;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2036;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2037;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2038;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2039;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2040;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2041;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2042;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2043;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2044;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2045;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2046;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2047;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2048;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2049;EU-27 CAM scenario proportionally distributed across each EU country;3500000
Example Country;2050;EU-27 CAM scenario proportionally distributed across each EU country;3500000
