geo country;vehicle age;survival rate
Example Country;1;1
Example Country;2;0,996666667
Example Country;3;0,993333333
Example Country;4;0,986666667
Example Country;5;0,983333333
Example Country;6;0,98
Example Country;7;0,963333333
Example Country;8;0,946666667
Example Country;9;0,933333333
Example Country;10;0,916666667
Example Country;11;0,9
Example Country;12;0,87
Example Country;13;0,84
Example Country;14;0,81
Example Country;15;0,78
Example Country;16;0,75
Example Country;17;0,7
Example Country;18;0,65
Example Country;19;0,6
Example Country;20;0,55
Example Country;21;0,5
Example Country;22;0,45
Example Country;23;0,4
Example Country;24;0,35
Example Country;25;0,3
Example Country;26;0,25
Example Country;27;0,22
Example Country;28;0,19
Example Country;29;0,16
Example Country;30;0,13
Example Country;31;0,1
Example Country;32;0,086666667
Example Country;33;0,07
Example Country;34;0,06
Example Country;35;0,045
Example Country;36;0,03
Example Country;37;0,025
Example Country;38;0,02
Example Country;39;0,015
Example Country;40;0,01
Example Country;41;0,005
Example Country;42;0,004
Example Country;43;0,003
Example Country;44;0,0025
Example Country;45;0,0015
