geo country;time;scenario;new vehicle registrations
Example Country;2022;Illustrative registration scenario;3000000
Example Country;2023;Illustrative registration scenario;3000000
Example Country;2024;Illustrative registration scenario;3000000
Example Country;2025;Illustrative registration scenario;3000000
Example Country;2026;Illustrative registration scenario;3000000
Example Country;2027;Illustrative registration scenario;3000000
Example Country;2028;Illustrative registration scenario;3000000
Example Country;2029;Illustrative registration scenario;3000000
Example Country;2030;Illustrative registration scenario;3500000
Example Country;2031;Illustrative registration scenario;3500000
Example Country;2032;Illustrative registration scenario;3500000
Example Country;2033;Illustrative registration scenario;3500000
Example Country;2034;Illustrative registration scenario;3500000
Example Country;2035;Illustrative registration scenario;3500000
Example Country;2036;Illustrative registration scenario;3500000
Example Country;2037;Illustrative registration scenario;3500000
Example Country;2038;Illustrative registration scenario;3500000
Example Country;2039;Illustrative registration scenario;3500000
Example Country;2040;Illustrative registration scenario;3500000
Example Country;2041;Illustrative registration scenario;3500000
Example Country;2042;Illustrative registration scenario;3500000
Example Country;2043;Illustrative registration scenario;3500000
Example Country;2044;Illustrative registration scenario;3500000
Example Country;2045;Illustrative registration scenario;3500000
Example Country;2046;Illustrative registration scenario;3500000
Example Country;2047;Illustrative registration scenario;3500000
Example Country;2048;Illustrative registration scenario;3500000
Example Country;2049;Illustrative registration scenario;3500000
Example Country;2050;Illustrative registration scenario;3500000
