geo country;powertrain;vehicle age;number of registered vehicles
Example Country;Total;1;2999651,7954302058
Example Country;Total;2;2997215,4948122688
Example Country;Total;3;2990612,648735503
Example Country;Total;4;2977796,1900307336
Example Country;Total;5;2956786,163412563
Example Country;Total;6;2925718,538118112
Example Country;Total;7;2882905,353438167
Example Country;Total;8;2826903,4529772424
Example Country;Total;9;2756587,9566334463
Example Country;Total;10;2671225,51717614
Example Country;Total;11;2570541,4603476305
Example Country;Total;12;2454774,2845744663
Example Country;Total;13;2324710,872620351
Example Country;Total;14;2181696,2939641806
Example Country;Total;15;2027613,3509186618
Example Country;Total;16;1864829,0566780404
Example Country;Total;17;1696107,9335964601
Example Country;Total;18;1524495,1683510223
Example Country;Total;19;1353175,9278772974
Example Country;Total;20;1185320,1154762558
Example Country;Total;21;1023924,0926540343
Example Country;Total;22;871662,01536563
Example Country;Total;23;730759,159699051
Example Country;Total;24;602897,8537314052
Example Country;Total;25;489163,52630671154
Example Country;Total;26;390034,29137446155
Example Country;Total;27;305412,9489975329
Example Country;Total;28;234695,93531975616
Example Country;Total;29;176870,21031417724
Example Country;Total;30;130626,82002086494
Example Country;Total;31;94479,17466622952
Example Country;Total;32;66874,944848664
Example Country;Total;33;30861,758571073413
Example Country;Total;34;20877,94949006708
Example Country;Total;35;13793,396893087596
Example Country;Total;36;8893,41126309818
Example Country;Total;37;5592,1241966001835
Example Country;Total;38;3426,8418721049234
Example Country;Total;39;2045,1147543122365
Example Country;Total;40;1187,8051260622951
Example Country;Total;41;670,9252558050237
Example Country;Total;42;368,3002837919827
Example Country;Total;43;196,3479946878161
Example Country;Total;44;101,58858851298983
Example Country;Total;45;50,97473274162693
Example Country;BEV;1;239842,2479721592
Example Country;BEV;2;149213,0520597629
Example Country;BEV;3;123193,4260784821
Example Country;BEV;4;96646,2414616019
Example Country;BEV;5;70187,6193988611
Example Country;BEV;6;44768,2044916988
Example Country;BEV;7;21548,5558046844
Example Country;BEV;8;15940,050261224302
Example Country;BEV;9;10922,662039681789
Example Country;BEV;10;6715,051225686637
Example Country;BEV;11;3451,0856511362176
Example Country;BEV;12;1155,7457375248769
Example Country;BEV;13;721,6981901339223
Example Country;BEV;14;414,7971637552645
Example Country;BEV;15;215,23594375634852
Example Country;BEV;16;97,43757382945725
Example Country;BEV;17;35,588320685034994
Example Country;BEV;18;16,85520063391563
Example Country;BEV;19;7,25968178616587
Example Country;BEV;20;2,805100255654969
Example Country;BEV;21;0,9521781614924835
Example Country;BEV;22;0,2732275353047318
Example Country;BEV;23;0,09158129741738573
Example Country;BEV;24;0,027759619194709855
Example Country;BEV;25;0,0075620012974886965
Example Country;BEV;26;0,001838123749081321
Example Country;BEV;27;0,00039526800516079014
Example Country;BEV;28;7,436369919871187e-05
Example Country;BEV;29;1,2047743325338808e-05
Example Country;BEV;30;1,637857656963142e-06
Example Country;BEV;31;1,7737231969232887e-07
Example Country;BEV;32;1,3183569432226077e-08
Example Country;BEV;33;1,0174165017012087e-09
Example Country;BEV;34;1,0281307156520826e-10
Example Country;BEV;35;9,02521738076269e-12
Example Country;BEV;36;6,846633524261466e-13
Example Country;BEV;37;4,463668394799482e-14
Example Country;BEV;38;2,485691242876258e-15
Example Country;BEV;39;1,1741492191954022e-16
Example Country;BEV;40;4,665730994799616e-18
Example Country;BEV;41;1,5432961891761322e-19
Example Country;BEV;42;4,186997096923102e-21
Example Country;BEV;43;1,107932373416812e-22
Example Country;BEV;44;2,4616654029525806e-24
Example Country;BEV;45;4,570678469088428e-26
Example Country;Gasoline;1;1304824,0142948912
Example Country;Gasoline;2;1348544,2538184135
Example Country;Gasoline;3;1363027,7201592317
Example Country;Gasoline;4;1374088,499985357
Example Country;Gasoline;5;1380529,7475993675
Example Country;Gasoline;6;1381173,7742532457
Example Country;Gasoline;7;1374905,1512125544
Example Country;Gasoline;8;1355122,0550811486
Example Country;Gasoline;9;1326914,776017034
Example Country;Gasoline;10;1289780,0319799972
Example Country;Gasoline;11;1243498,6503771776
Example Country;Gasoline;12;1188176,8181129112
Example Country;Gasoline;13;1137657,6311850369
Example Country;Gasoline;14;1077473,4420919316
Example Country;Gasoline;15;1008604,6899324643
Example Country;Gasoline;16;932415,3030927496
Example Country;Gasoline;17;850601,3223643369
Example Country;Gasoline;18;765111,8176532809
Example Country;Gasoline;19;678046,7225197252
Example Country;Gasoline;20;591539,2693762047
Example Country;Gasoline;21;507633,10346865054
Example Country;Gasoline;22;428165,43186352664
Example Country;Gasoline;23;357574,5169694982
Example Country;Gasoline;24;292941,1151028687
Example Country;Gasoline;25;235241,34273291912
Example Country;Gasoline;26;185023,2981912983
Example Country;Gasoline;27;142422,22717240854
Example Country;Gasoline;28;107207,74305510178
Example Country;Gasoline;29;78855,02305401431
Example Country;Gasoline;30;56629,74717232937
Example Country;Gasoline;31;39676,067279137555
Example Country;Gasoline;32;27098,019018608342
Example Country;Gasoline;33;11939,552181819457
Example Country;Gasoline;34;7681,70447819556
Example Country;Gasoline;35;4807,34702123936
Example Country;Gasoline;36;2924,031945029225
Example Country;Gasoline;37;1727,1811395824209
Example Country;Gasoline;38;989,9724296784489
Example Country;Gasoline;39;550,1587097601195
Example Country;Gasoline;40;296,1984261075842
Example Country;Gasoline;41;154,3680733642437
Example Country;Gasoline;42;77,8148120622937
Example Country;Gasoline;43;37,68901546919494
Example Country;Gasoline;44;17,629549610007302
Example Country;Gasoline;45;7,957750060672543
