geo country;powertrain;vehicle age;survival rate
Example Country;Total;1;0,999883932
Example Country;Total;2;0,999071832
Example Country;Total;3;0,996870883
Example Country;Total;4;0,99259873
Example Country;Total;5;0,985595388
Example Country;Total;6;0,975239513
Example Country;Total;7;0,960968451
Example Country;Total;8;0,942301151
Example Country;Total;9;0,918862652
Example Country;Total;10;0,890408506
Example Country;Total;11;0,856847153
Example Country;Total;12;0,818258095
Example Country;Total;13;0,774903624
Example Country;Total;14;0,727232098
Example Country;Total;15;0,675871117
Example Country;Total;16;0,621609686
Example Country;Total;17;0,565369311
Example Country;Total;18;0,508165056
Example Country;Total;19;0,451058643
Example Country;Total;20;0,395106705
Example Country;Total;21;0,341308031
Example Country;Total;22;0,290554005
Example Country;Total;23;0,243586387
Example Country;Total;24;0,200965951
Example Country;Total;25;0,163054509
Example Country;Total;26;0,13001143
Example Country;Total;27;0,101804316
Example Country;Total;28;0,078231978
Example Country;Total;29;0,058956737
Example Country;Total;30;0,043542273
Example Country;Total;31;0,031493058
Example Country;Total;32;0,022291648
Example Country;Total;33;0,015430879
Example Country;Total;34;0,010438975
Example Country;Total;35;0,006896698
Example Country;Total;36;0,004446706
Example Country;Total;37;0,002796062
Example Country;Total;38;0,001713421
Example Country;Total;39;0,001022557
Example Country;Total;40;0,000593903
Example Country;Total;41;0,000335463
Example Country;Total;42;0,00018415
Example Country;Total;43;9,82E-05
Example Country;Total;44;5,08E-05
Example Country;Total;45;2,55E-05
Example Country;BEV;1;0,9993427
Example Country;BEV;2;0,99475368
Example Country;BEV;3;0,982403717
Example Country;BEV;4;0,958792078
Example Country;BEV;5;0,921097367
Example Country;BEV;6;0,867600862
Example Country;BEV;7;0,798094659
Example Country;BEV;8;0,714159958
Example Country;BEV;9;0,619198528
Example Country;BEV;10;0,518136669
Example Country;BEV;11;0,416797784
Example Country;BEV;12;0,321040483
Example Country;BEV;13;0,235849082
Example Country;BEV;14;0,164602049
Example Country;BEV;15;0,108705022
Example Country;BEV;16;0,067664982
Example Country;BEV;17;0,039542579
Example Country;BEV;18;0,021609232
Example Country;BEV;19;0,010999518
Example Country;BEV;20;0,00519463
Example Country;BEV;21;0,002267091
Example Country;BEV;22;0,000910758
Example Country;BEV;23;0,000335463
Example Country;BEV;24;0,000112844
Example Country;BEV;25;3,45E-05
Example Country;BEV;26;9,57E-06
Example Country;BEV;27;2,40E-06
Example Country;BEV;28;5,39E-07
Example Country;BEV;29;1,09E-07
Example Country;BEV;30;1,95E-08
Example Country;BEV;31;3,11E-09
Example Country;BEV;32;4,39E-10
Example Country;BEV;33;5,47E-11
Example Country;BEV;34;5,98E-12
Example Country;BEV;35;5,71E-13
Example Country;BEV;36;4,75E-14
Example Country;BEV;37;3,43E-15
Example Country;BEV;38;2,14E-16
Example Country;BEV;39;1,15E-17
Example Country;BEV;40;5,30E-19
Example Country;BEV;41;2,09E-20
Example Country;BEV;42;6,98E-22
Example Country;BEV;43;1,98E-23
Example Country;BEV;44;4,73E-25
Example Country;BEV;45;9,52E-27
Example Country;Gasoline;1;0,999865145
Example Country;Gasoline;2;0,998921669
Example Country;Gasoline;3;0,996365293
Example Country;Gasoline;4;0,991405844
Example Country;Gasoline;5;0,983283296
Example Country;Gasoline;6;0,971289574
Example Country;Gasoline;7;0,954795244
Example Country;Gasoline;8;0,933279652
Example Country;Gasoline;9;0,906362552
Example Country;Gasoline;10;0,87383471
Example Country;Gasoline;11;0,835684577
Example Country;Gasoline;12;0,792117879
Example Country;Gasoline;13;0,743567079
Example Country;Gasoline;14;0,690688104
Example Country;Gasoline;15;0,634342572
Example Country;Gasoline;16;0,575565002
Example Country;Gasoline;17;0,515515953
Example Country;Gasoline;18;0,455423701
Example Country;Gasoline;19;0,396518551
Example Country;Gasoline;20;0,339965097
Example Country;Gasoline;21;0,286798364
Example Country;Gasoline;22;0,237869684
Example Country;Gasoline;23;0,193807326
Example Country;Gasoline;24;0,154995299
Example Country;Gasoline;25;0,121571753
Example Country;Gasoline;26;0,09344611
Example Country;Gasoline;27;0,070331964
Example Country;Gasoline;28;0,05179118
Example Country;Gasoline;29;0,037283699
Example Country;Gasoline;30;0,026217476
Example Country;Gasoline;31;0,017993681
Example Country;Gasoline;32;0,012043564
Example Country;Gasoline;33;0,007854969
Example Country;Gasoline;34;0,00498812
Example Country;Gasoline;35;0,003081633
Example Country;Gasoline;36;0,001850653
Example Country;Gasoline;37;0,001079488
Example Country;Gasoline;38;0,000611094
Example Country;Gasoline;39;0,000335463
Example Country;Gasoline;40;0,000178433
Example Country;Gasoline;41;9,19E-05
Example Country;Gasoline;42;4,58E-05
Example Country;Gasoline;43;2,20E-05
Example Country;Gasoline;44;1,02E-05
Example Country;Gasoline;45;4,60E-06
