geo country;vehicle age;survival rate
Austria;1;0,87097244
Austria;2;0,902620278
Austria;3;0,914657224
Austria;4;0,920413121
Austria;5;0,937114967
Austria;6;0,928048969
Austria;7;0,913614741
Austria;8;0,928288087
Austria;9;0,939301389
Austria;10;0,902257682
Austria;11;0,83749522
Austria;12;0,784447463
Austria;13;0,722707297
Austria;14;0,656535197
Austria;15;0,577134311
Austria;16;0,489316181
Austria;17;0,415451787
Austria;18;0,338358022
Austria;19;0,251523499
Austria;20;0,193442933
Austria;21;0,150794192
Austria;22;0,118468581
Austria;23;0,088225299
Austria;24;0,07059496
Austria;25;0,062890901
Austria;26;0,066280789
Austria;27;0,069745285
Austria;28;0,072921232
Austria;29;0,071267241
Austria;30;0,071299802
Austria;31;0,071357425
Austria;32;0,071390575
Austria;33;0,071424517
Austria;34;0,006878945
Austria;35;0
Austria;36;0
Austria;37;0
Austria;38;0
Austria;39;0
Austria;40;0
Austria;41;0
Austria;42;0
Austria;43;0
Austria;44;0
Austria;45;0
Belgium;1;0,919830374
Belgium;2;0,969177379
Belgium;3;0,972895834
Belgium;4;0,84649519
Belgium;5;0,748770661
Belgium;6;0,587832665
Belgium;7;0,583216867
Belgium;8;0,762829222
Belgium;9;0,609636254
Belgium;10;0,512973796
Belgium;11;0,504694495
Belgium;12;0,491989318
Belgium;13;0,442711292
Belgium;14;0,366957919
Belgium;15;0,317044181
Belgium;16;0,230041678
Belgium;17;0,182634866
Belgium;18;0,150798389
Belgium;19;0,147697769
Belgium;20;0,118468825
Belgium;21;0,089224439
Belgium;22;0,064681966
Belgium;23;0,04471745
Belgium;24;0,031536443
Belgium;25;0,022120787
Belgium;26;0,019152803
Belgium;27;0,027282479
Belgium;28;0,029923665
Belgium;29;0,029722196
Belgium;30;0,024855764
Belgium;31;0,023494546
Belgium;32;0,023586261
Belgium;33;0,025510449
Belgium;34;0,021023142
Belgium;35;0,018345206
Belgium;36;0,018249469
Belgium;37;0,01494979
Belgium;38;0,01260893
Belgium;39;0,014269718
Belgium;40;0,017372813
Belgium;41;0,017810012
Belgium;42;0,017658712
Belgium;43;0,017382771
Belgium;44;0,016359476
Belgium;45;0,019595794
Switzerland;1;0,799233397
Switzerland;2;0,970789532
Switzerland;3;0,996089883
Switzerland;4;0,990008189
Switzerland;5;0,965079555
Switzerland;6;1,000774497
Switzerland;7;0,999959541
Switzerland;8;0,961141257
Switzerland;9;0,892273875
Switzerland;10;0,898423084
Switzerland;11;0,832150748
Switzerland;12;0,779325001
Switzerland;13;0,68221074
Switzerland;14;0,601517921
Switzerland;15;0,515155238
Switzerland;16;0,44132812
Switzerland;17;0,374749588
Switzerland;18;0,309338367
Switzerland;19;0,228716142
Switzerland;20;0,169747806
Switzerland;21;0,125640121
Switzerland;22;0,095061106
Switzerland;23;0,069979541
Switzerland;24;0,053787799
Switzerland;25;0,042093828
Switzerland;26;0,036258072
Switzerland;27;0,02858744
Switzerland;28;0,021659798
Switzerland;29;0,016320921
Switzerland;30;0,014886153
Switzerland;31;0,012602858
Switzerland;32;0,010035146
Switzerland;33;0,008377946
Switzerland;34;0,008561956
Switzerland;35;0,009433119
Switzerland;36;0,007056819
Switzerland;37;0,006446736
Switzerland;38;0,007396754
Switzerland;39;0,007028284
Switzerland;40;0,005437092
Switzerland;41;0,004913605
Switzerland;42;0,005117027
Switzerland;43;0,006964362
Switzerland;44;0,010456297
Switzerland;45;0,011618517
Cyprus;1;0,833974976
Cyprus;2;1,031752332
Cyprus;3;1,480353041
Cyprus;4;1,737476941
Cyprus;5;1,11644023
Cyprus;6;1,889055574
Cyprus;7;1,839264374
Cyprus;8;1,737409846
Cyprus;9;1,144137447
Cyprus;10;1,103397459
Cyprus;11;1,225373575
Cyprus;12;1,297709526
Cyprus;13;1,268651399
Cyprus;14;2,725970476
Cyprus;15;1,656962446
Cyprus;16;1,67589916
Cyprus;17;1,692971138
Cyprus;18;1,711921439
Cyprus;19;1,731300785
Cyprus;20;1,754451404
Cyprus;21;1,781151758
Cyprus;22;1,811305675
Cyprus;23;0,970067422
Cyprus;24;0
Cyprus;25;0
Cyprus;26;0
Cyprus;27;0
Cyprus;28;0
Cyprus;29;0
Cyprus;30;0
Cyprus;31;0
Cyprus;32;0
Cyprus;33;0
Cyprus;34;0
Cyprus;35;0
Cyprus;36;0
Cyprus;37;0
Cyprus;38;0
Cyprus;39;0
Cyprus;40;0
Cyprus;41;0
Cyprus;42;0
Cyprus;43;0
Cyprus;44;0
Cyprus;45;0
Czech Republic;1;0,68738472
Czech Republic;2;0,662436053
Czech Republic;3;0,889425627
